,name,type,value,date
154,菲律宾,,6684568805.0,1960
155,帕劳,,0.0,1960
156,巴布亚新几内亚,,230496033.0,1960
157,波兰,,0.0,1960
158,波多黎各,,1691900000.0,1960
159,朝鲜民主主义人民共和国,,0.0,1960
160,葡萄牙,,3193200404.0,1960
161,巴拉圭,,0.0,1960
162,约旦河西岸和加沙,,0.0,1960
163,法属波利尼西亚,,0.0,1960
164,卡塔尔,,0.0,1960
165,罗马尼亚,,0.0,1960
166,俄罗斯联邦,,0.0,1960
167,卢旺达,,119000024.0,1960
168,南亚,,46639476637.0,1960
169,沙特阿拉伯,,0.0,1960
170,苏丹,,1307333333.0,1960
171,塞内加尔,,1003692375.0,1960
172,新加坡,,704462302.4,1960
173,所罗门群岛,,0.0,1960
174,塞拉利昂,,322009471.6,1960
175,萨尔瓦多,,0.0,1960
176,圣马力诺,,0.0,1960
177,索马里,,0.0,1960
178,塞尔维亚,,0.0,1960
179,南苏丹,,0.0,1960
180,圣多美和普林西比,,0.0,1960
181,苏里南,,99650000.0,1960
182,斯洛伐克共和国,,0.0,1960
183,斯洛文尼亚,,0.0,1960
184,瑞典,,14842870293.0,1960
185,斯威士兰,,35076158.48,1960
186,圣马丁(荷属),,0.0,1960
187,塞舌尔,,12012025.25,1960
188,阿拉伯叙利亚共和国,,857704431.7,1960
189,特克斯科斯群岛,,0.0,1960
190,乍得,,313582727.6,1960
191,多哥,,121128073.1,1960
192,泰国,,2760747472.0,1960
193,塔吉克斯坦,,0.0,1960
194,土库曼斯坦,,0.0,1960
195,东帝汶,,0.0,1960
196,汤加,,0.0,1960
197,特立尼达和多巴哥,,535670127.7,1960
198,突尼斯,,0.0,1960
199,土耳其,,13995067818.0,1960
200,图瓦卢,,0.0,1960
201,坦桑尼亚,,0.0,1960
202,乌干达,,423008385.7,1960
203,乌克兰,,0.0,1960
204,乌拉圭,,1242289239.0,1960
205,美国,,543000000000.0,1960
206,乌兹别克斯坦,,0.0,1960
207,圣文森特和格林纳丁斯,,13066557.78,1960
208,委内瑞拉玻利瓦尔共和国,,7779090909.0,1960
209,英屬維爾京群島,,0.0,1960
210,美属维京群岛,,24200000.0,1960
211,越南,,0.0,1960
212,瓦努阿图,,0.0,1960
213,萨摩亚,,0.0,1960
214,科索沃,,0.0,1960
215,也门共和国,,0.0,1960
216,南非,,7575248495.0,1960
217,赞比亚,,713000000.0,1960
218,津巴布韦,,1052990400.0,1960
219,阿鲁巴,,0.0,1961
220,阿富汗,,548888895.6,1961
221,安哥拉,,0.0,1961
222,阿尔巴尼亚,,0.0,1961
223,安道尔共和国,,0.0,1961
224,阿拉伯联合酋长国,,0.0,1961
225,阿根廷,,0.0,1961
226,亚美尼亚,,0.0,1961
227,美属萨摩亚,,0.0,1961
228,安提瓜和巴布达,,0.0,1961
229,澳大利亚,,19648336880.0,1961
230,奥地利,,7311749633.0,1961
231,阿塞拜疆,,0.0,1961
232,布隆迪,,202999992.0,1961
233,比利时,,12400145222.0,1961
234,贝宁,,235668222.4,1961
235,布基纳法索,,350247237.1,1961
236,孟加拉国,,4817580184.0,1961
237,保加利亚,,0.0,1961
238,巴林,,0.0,1961
239,巴哈马,,190098039.2,1961
240,波斯尼亚和黑塞哥维那,,0.0,1961
241,白俄罗斯,,0.0,1961
242,伯利兹,,29964370.71,1961
243,百慕大,,89249986.7,1961
244,玻利维亚,,406684585.7,1961
245,巴西,,15236854859.0,1961
246,巴巴多斯,,0.0,1961
247,文莱达鲁萨兰国,,0.0,1961
248,不丹,,0.0,1961
249,博茨瓦纳,,32902336.64,1961
250,中非共和国,,123134584.5,1961
251,加拿大,,40767969454.0,1961
252,瑞士,,10712712465.0,1961
253,海峡群岛,,0.0,1961
254,智利,,4609727273.0,1961
255,中国,,50056868958.0,1961
256,科特迪瓦,,618245639.2,1961
257,喀麦隆,,657597382.8,1961
258,刚果（金）,,3086746857.0,1961
259,刚果（布）,,151675739.2,1961
260,哥伦比亚,,4540447761.0,1961
261,科摩罗,,0.0,1961
262,佛得角,,0.0,1961
263,哥斯达黎加,,490325181.6,1961
264,加勒比小国,,2032981145.0,1961
265,古巴,,0.0,1961
266,库拉索,,0.0,1961
267,开曼群岛,,0.0,1961
268,塞浦路斯,,0.0,1961
269,捷克共和国,,0.0,1961
270,德国,,0.0,1961
271,吉布提,,0.0,1961
272,多米尼克,,0.0,1961
273,丹麦,,6933842099.0,1961
274,多米尼加共和国,,654100200.0,1961
275,阿尔及利亚,,2434776646.0,1961
276,厄瓜多尔,,1753850417.0,1961
277,阿拉伯埃及共和国,,0.0,1961
278,厄立特里亚,,0.0,1961
279,西班牙,,13834300571.0,1961
280,爱沙尼亚,,0.0,1961
281,埃塞俄比亚,,0.0,1961
282,芬兰,,5921659485.0,1961
283,斐济,,116987784.9,1961
284,法国,,68346741504.0,1961
285,法罗群岛,,0.0,1961
286,密克罗尼西亚联邦,,0.0,1961
287,加蓬,,167637907.4,1961
288,英国,,76694360636.0,1961
289,格鲁吉亚,,0.0,1961
290,加纳,,1302674264.0,1961
291,直布罗陀,,0.0,1961
292,几内亚,,0.0,1961
293,冈比亚,,0.0,1961
294,几内亚比绍共和国,,0.0,1961
295,赤道几内亚,,0.0,1961
296,希腊,,5016048786.0,1961
297,格林纳达,,0.0,1961
298,格陵兰,,0.0,1961
299,危地马拉,,1076699900.0,1961
300,关岛,,0.0,1961
301,圭亚那,,185848451.3,1961
302,中国香港特别行政区,,1383681651.0,1961
303,洪都拉斯,,356200000.0,1961
304,克罗地亚,,0.0,1961
305,海地,,271066000.0,1961
306,匈牙利,,0.0,1961
307,印度尼西亚,,0.0,1961
308,马恩岛,,0.0,1961
309,印度,,38709096076.0,1961
310,爱尔兰,,2088012282.0,1961
311,伊朗伊斯兰共和国,,4426949095.0,1961
312,伊拉克,,1831700364.0,1961
313,冰岛,,253885656.3,1961
314,以色列,,3138500000.0,1961
315,意大利,,44842760293.0,1961
316,牙买加,,748028839.4,1961
317,约旦,,0.0,1961
318,日本,,53508617739.0,1961
319,哈萨克斯坦,,0.0,1961
320,肯尼亚,,792959472.1,1961
321,吉尔吉斯斯坦,,0.0,1961
322,柬埔寨,,642857134.3,1961
323,基里巴斯,,0.0,1961
324,圣基茨和尼维斯,,12483229.31,1961
325,大韩民国,,2417237754.0,1961
326,科威特,,0.0,1961
327,老挝,,0.0,1961
328,黎巴嫩,,0.0,1961
329,利比里亚,,0.0,1961
330,利比亚,,0.0,1961
331,圣卢西亚,,0.0,1961
332,列支敦士登,,0.0,1961
333,斯里兰卡,,1444327731.0,1961
334,莱索托,,35699286.01,1961
335,立陶宛,,0.0,1961
336,卢森堡,,704145671.4,1961
337,拉脱维亚,,0.0,1961
338,中国澳门特别行政区,,0.0,1961
339,圣马丁（法属）,,0.0,1961
340,摩洛哥,,2025689537.0,1961
341,摩纳哥,,0.0,1961
342,摩尔多瓦,,0.0,1961
343,马达加斯加,,699161943.9,1961
344,马尔代夫,,0.0,1961
345,墨西哥,,14160000000.0,1961
346,马绍尔群岛,,0.0,1961
347,北马其顿,,0.0,1961
